time	param	target
2181632	5506000	4
4341760	5507000	4
6504704	5508000	4
6921984	8258000	6
8688896	5509000	4
9050112	8259000	6
10782976	5510000	4
11158784	8260000	6
12837376	5511000	4
13254400	8261000	6
14892544	5512000	4
15360512	8262000	6
16956928	5513000	4
17489152	8263000	6
18128640	0	0
19003136	5514000	4
19462656	1000	0
19489024	8264000	6
20750336	2000	0
21003264	5515000	4
21503232	8265000	6
21948160	3000	0
23002368	5516000	4
23143168	4000	0
23523584	8266000	6
24315136	5000	0
24998912	5517000	4
25460480	6000	0
25529856	8267000	6
26645760	7000	0
26969088	5518000	4
27562496	8268000	6
27810304	8000	0
28944640	5519000	4
28961792	9000	0
29453568	8269000	6
30158336	10000	0
30889728	5520000	4
31326464	11000	0
31383296	8270000	6
32481024	12000	0
32783872	5521000	4
33304576	8271000	6
33736960	13000	0
34677504	5522000	4
34908928	14000	0
35222016	8272000	6
36078592	15000	0
36571904	5523000	4
37094144	8273000	6
37256704	16000	0
38403072	17000	0
38484224	5524000	4
38979328	8274000	6
39605248	18000	0
40406528	5525000	4
40753664	19000	0
40861184	8275000	6
41906176	20000	0
42272512	5526000	4
42691584	8276000	6
43149568	21000	0
44097536	5527000	4
44300800	22000	0
44526080	8277000	6
45456640	23000	0
45920768	5528000	4
46343424	8278000	6
46607616	24000	0
47731712	5529000	4
47793920	25000	0
48136448	8279000	6
48960000	26000	0
49526016	5530000	4
49934848	8280000	6
50119168	27000	0
51360512	28000	0
51369216	5531000	4
51745536	8281000	6
52509184	29000	0
53150720	5532000	4
53539072	8282000	6
53669120	30000	0
54857984	31000	0
54947072	5533000	4
55373824	8283000	6
56020224	32000	0
56766464	5534000	4
57228288	8284000	6
57239040	33000	0
58439936	34000	0
58653184	5535000	4
59121664	8285000	6
59663104	35000	0
60508672	5536000	4
60880384	36000	0
61019392	8286000	6
62029312	37000	0
62336768	5537000	4
62918656	8287000	6
63247616	38000	0
64147200	5538000	4
64456960	39000	0
64801280	8288000	6
65643008	40000	0
65975296	5539000	4
66721536	8289000	6
66808320	41000	0
67790080	5540000	4
67976448	42000	0
68543488	8290000	6
69173248	43000	0
69587200	5541000	4
70299392	44000	0
70412032	8291000	6
71394816	5542000	4
71450368	45000	0
72267520	8292000	6
72594432	46000	0
73199872	5543000	4
73772032	47000	0
74159872	8293000	6
74947328	48000	0
75031808	5544000	4
76032000	8294000	6
76095488	49000	0
76871424	5545000	4
77252352	50000	0
77912576	8295000	6
78382592	51000	0
78683392	5546000	4
79547648	52000	0
